"identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se ha compartido",Seguidores,Comentarios,"Veces guardado"
1001,9000000001,democreator,Demo Creator,"POV: explaining SQL joins with food analogies #sql #datascience #techhumor",32,03/15/2026 14:30,https://instagram.com/reel/example1,"Reel de Instagram",,Total,485000,312000,28400,4200,890,1340,6800
1002,9000000001,democreator,Demo Creator,"when your code works on the first try and you don't trust it #programming #developer",8,03/12/2026 19:00,https://instagram.com/reel/example2,"Reel de Instagram",,Total,720000,498000,52100,8900,1200,2100,3200
1003,9000000001,democreator,Demo Creator,"how I organize my terminal with custom aliases #bash #terminal #linux",45,03/10/2026 13:00,https://instagram.com/reel/example3,"Reel de Instagram",,Total,135000,98000,9200,1100,320,580,4500
1004,9000000001,democreator,Demo Creator,"mi novio me pregunta que es un merge conflict #techgirl #humor",12,03/08/2026 20:30,https://instagram.com/reel/example4,"Reel de Instagram",,Total,960000,645000,71000,12500,1800,3400,5100
1005,9000000001,democreator,Demo Creator,"Excel vs Python for data analysis — honest comparison #excel #python #datascience",55,03/06/2026 15:00,https://instagram.com/reel/example5,"Reel de Instagram",,Total,210000,156000,14200,2800,540,890,8900
1006,9000000001,democreator,Demo Creator,"3 git commands that saved my life #git #programming #developer",28,03/04/2026 18:00,https://instagram.com/reel/example6,"Reel de Instagram",,Total,340000,245000,22100,3600,680,1200,7200
1007,9000000001,democreator,Demo Creator,"POV: tu primer dia en un bootcamp de programacion #coding #techhumor",15,03/02/2026 14:00,https://instagram.com/reel/example7,"Reel de Instagram",,Total,580000,410000,38900,6200,950,1800,4100
1008,9000000001,democreator,Demo Creator,"README files matter more than you think #github #buenaspracticas",38,02/28/2026 16:30,https://instagram.com/reel/example8,"Reel de Instagram",,Total,95000,72000,6800,980,210,420,5200
1009,9000000001,democreator,Demo Creator,"the mass you don't use python in 2026 #python #techhumor #programming",10,02/26/2026 20:00,https://instagram.com/reel/example9,"Reel de Instagram",,Total,850000,590000,61200,10200,1500,2800,4800
1010,9000000001,democreator,Demo Creator,"how to read a CSV in pandas — 60 second tutorial #python #datascience",60,02/24/2026 12:00,https://instagram.com/reel/example10,"Reel de Instagram",,Total,178000,128000,11500,1900,380,720,6100
