identificador_de_la_publicación,identificador_de_la_cuenta,nombre_de_usuario_de_la_cuenta,nombre_de_la_cuenta,descripcion,duracion_seg,hora_publicacion,enlace,tipo,comentario_sobre_los_datos,fecha,visualizaciones,alcance,me_gustas,compartidos,seguidores_ganados,comentarios,guardados,fecha_dt,hora,dia_semana,tema,engagement_rate,save_rate,share_rate,follower_conv_rate
1001,9000000001,democreator,Demo Creator,POV: explaining SQL joins with food analogies #sql #datascience #techhumor,32,03/15/2026 14:30,https://instagram.com/reel/example1,Reel de Instagram,,2026-03-15,485000,312000,28400,4200,890,1340,6800,2026-03-15 14:30:00,14,Sunday,SQL,13.06,2.18,0.87,0.29
1002,9000000001,democreator,Demo Creator,when your code works on the first try and you don't trust it #programming #developer,8,03/12/2026 19:00,https://instagram.com/reel/example2,Reel de Instagram,,2026-03-12,720000,498000,52100,8900,1200,2100,3200,2026-03-12 19:00:00,19,Thursday,Programming general,13.31,0.64,1.24,0.24
1003,9000000001,democreator,Demo Creator,how I organize my terminal with custom aliases #bash #terminal #linux,45,03/10/2026 13:00,https://instagram.com/reel/example3,Reel de Instagram,,2026-03-10,135000,98000,9200,1100,320,580,4500,2026-03-10 13:00:00,13,Tuesday,Terminal/Bash,15.69,4.59,0.81,0.33
1004,9000000001,democreator,Demo Creator,mi novio me pregunta que es un merge conflict #techgirl #humor,12,03/08/2026 20:30,https://instagram.com/reel/example4,Reel de Instagram,,2026-03-08,960000,645000,71000,12500,1800,3400,5100,2026-03-08 20:30:00,20,Sunday,Git,14.26,0.79,1.3,0.28
1005,9000000001,democreator,Demo Creator,Excel vs Python for data analysis — honest comparison #excel #python #datascience,55,03/06/2026 15:00,https://instagram.com/reel/example5,Reel de Instagram,,2026-03-06,210000,156000,14200,2800,540,890,8900,2026-03-06 15:00:00,15,Friday,Python,17.17,5.71,1.33,0.35
1006,9000000001,democreator,Demo Creator,3 git commands that saved my life #git #programming #developer,28,03/04/2026 18:00,https://instagram.com/reel/example6,Reel de Instagram,,2026-03-04,340000,245000,22100,3600,680,1200,7200,2026-03-04 18:00:00,18,Wednesday,Git,13.92,2.94,1.06,0.28
1007,9000000001,democreator,Demo Creator,POV: tu primer dia en un bootcamp de programacion #coding #techhumor,15,03/02/2026 14:00,https://instagram.com/reel/example7,Reel de Instagram,,2026-03-02,580000,410000,38900,6200,950,1800,4100,2026-03-02 14:00:00,14,Monday,Programming general,12.44,1.0,1.07,0.23
1008,9000000001,democreator,Demo Creator,README files matter more than you think #github #buenaspracticas,38,02/28/2026 16:30,https://instagram.com/reel/example8,Reel de Instagram,,2026-02-28,95000,72000,6800,980,210,420,5200,2026-02-28 16:30:00,16,Saturday,Git,18.61,7.22,1.03,0.29
1009,9000000001,democreator,Demo Creator,the mass you don't use python in 2026 #python #techhumor #programming,10,02/26/2026 20:00,https://instagram.com/reel/example9,Reel de Instagram,,2026-02-26,850000,590000,61200,10200,1500,2800,4800,2026-02-26 20:00:00,20,Thursday,Python,13.39,0.81,1.2,0.25
1010,9000000001,democreator,Demo Creator,how to read a CSV in pandas — 60 second tutorial #python #datascience,60,02/24/2026 12:00,https://instagram.com/reel/example10,Reel de Instagram,,2026-02-24,178000,128000,11500,1900,380,720,6100,2026-02-24 12:00:00,12,Tuesday,Python,15.8,4.77,1.07,0.3
